time,open,high,low,close,volume,bid,ask
2018-05-27 00:00:00,1297.48,1306.474,1289.318,1292.928,386589.0,1292.928,1292.928
2018-06-03 00:00:00,1293.33,1303.054,1289.85,1298.456,349545.0,1298.456,1298.456
2018-06-10 00:00:00,1298.637,1309.231,1275.39,1279.602,362042.0,1279.602,1279.602
2018-06-17 00:00:00,1279.739,1284.015,1261.332,1269.088,364622.0,1269.088,1269.088
2018-06-24 00:00:00,1271.095,1272.531,1245.91,1252.533,400143.0,1252.533,1252.533
2018-07-01 00:00:00,1253.02,1261.034,1237.914,1254.736,366082.0,1254.736,1254.736
2018-07-08 00:00:00,1255.83,1265.847,1236.388,1241.512,373418.0,1241.512,1241.512
2018-07-15 00:00:00,1241.63,1245.518,1211.435,1231.498,377814.0,1231.498,1231.498
2018-07-22 00:00:00,1231.819,1235.133,1217.538,1222.619,383130.0,1222.619,1222.619
2018-07-29 00:00:00,1223.091,1228.45,1204.451,1213.262,349454.0,1213.262,1213.262
2018-08-05 00:00:00,1213.69,1217.817,1205.726,1211.004,345643.0,1211.004,1211.004
2018-08-12 00:00:00,1212.46,1213.801,1160.182,1184.73,406753.0,1184.73,1184.73
2018-08-19 00:00:00,1183.23,1208.517,1182.868,1205.638,367321.0,1205.638,1205.638
2018-08-26 00:00:00,1206.47,1214.24,1196.244,1200.848,360609.0,1200.848,1200.848
2018-09-02 00:00:00,1199.64,1206.918,1189.626,1195.623,350716.0,1195.623,1195.623
2018-09-09 00:00:00,1195.01,1212.615,1187.715,1193.235,359263.0,1193.235,1193.235
2018-09-16 00:00:00,1194.16,1211.006,1191.846,1199.512,372157.0,1199.512,1199.512
2018-09-23 00:00:00,1197.68,1204.111,1180.744,1191.768,359702.0,1191.768,1191.768
2018-09-30 00:00:00,1191.41,1208.216,1184.552,1202.678,389426.0,1202.678,1202.678
2018-10-07 00:00:00,1203.12,1226.272,1182.418,1217.801,386000.0,1217.801,1217.801
2018-10-14 00:00:00,1218.857,1233.204,1218.669,1226.292,283799.0,1226.292,1226.292
2018-10-21 00:00:00,1228.066,1243.354,1220.088,1233.594,299372.0,1233.594,1233.594
2018-10-28 00:00:00,1233.097,1237.33,1211.958,1232.876,329334.0,1232.876,1232.876
2018-11-04 00:00:00,1233.117,1236.346,1206.739,1209.584,301982.0,1209.584,1209.584
2018-11-11 00:00:00,1209.544,1225.238,1196.294,1221.559,307632.0,1221.559,1221.559
2018-11-18 00:00:00,1221.955,1230.015,1218.009,1222.983,252395.0,1222.983,1222.983
