time,open,high,low,close,volume,bid,ask
2018-05-27 00:00:00,1297.48,1299.39,1296.824,1298.759,1570.0,1298.759,1298.759
2018-05-28 00:00:00,1298.765,1300.253,1295.472,1298.025,51921.0,1298.025,1298.025
2018-05-29 00:00:00,1298.024,1306.474,1291.871,1302.115,92861.0,1302.115,1302.115
2018-05-30 00:00:00,1302.092,1304.208,1295.848,1302.516,85388.0,1302.516,1302.516
2018-05-31 00:00:00,1302.48,1306.399,1296.941,1299.39,82221.0,1299.39,1299.39
2018-06-01 00:00:00,1299.377,1300.539,1289.318,1292.928,72628.0,1292.928,1292.928
2018-06-03 00:00:00,1293.33,1294.461,1292.448,1292.71,1748.0,1292.71,1292.71
2018-06-04 00:00:00,1292.67,1297.981,1290.13,1291.514,69570.0,1291.514,1291.514
2018-06-05 00:00:00,1291.503,1300.466,1289.85,1296.876,68476.0,1296.876,1296.876
2018-06-06 00:00:00,1296.886,1301.728,1293.756,1297.281,69115.0,1297.281,1297.281
2018-06-07 00:00:00,1297.275,1303.054,1294.868,1297.222,73063.0,1297.222,1297.222
2018-06-08 00:00:00,1297.188,1300.48,1291.59,1298.456,67573.0,1298.456,1298.456
2018-06-10 00:00:00,1298.637,1299.717,1298.619,1299.122,1431.0,1299.122,1299.122
2018-06-11 00:00:00,1299.062,1302.118,1294.092,1298.146,64452.0,1298.146,1298.146
2018-06-12 00:00:00,1298.113,1299.736,1292.314,1295.435,71494.0,1295.435,1295.435
2018-06-13 00:00:00,1295.426,1301.124,1291.572,1299.33,66863.0,1299.33,1299.33
2018-06-14 00:00:00,1299.358,1309.231,1297.507,1302.365,76056.0,1302.365,1302.365
2018-06-15 00:00:00,1302.352,1302.979,1275.39,1279.602,81746.0,1279.602,1279.602
2018-06-17 00:00:00,1279.739,1281.192,1279.299,1280.925,1919.0,1280.925,1280.925
2018-06-18 00:00:00,1280.93,1282.351,1277.006,1281.281,66262.0,1281.281,1281.281
2018-06-19 00:00:00,1281.261,1284.015,1270.4,1274.982,78698.0,1274.982,1274.982
2018-06-20 00:00:00,1274.979,1276.32,1267.44,1269.389,76001.0,1269.389,1269.389
2018-06-21 00:00:00,1269.399,1270.059,1261.332,1267.292,76540.0,1267.292,1267.292
2018-06-22 00:00:00,1267.296,1271.008,1266.718,1269.088,65202.0,1269.088,1269.088
2018-06-24 00:00:00,1271.095,1271.624,1270.871,1270.932,1414.0,1270.932,1270.932
2018-06-25 00:00:00,1270.932,1272.531,1264.363,1265.978,75762.0,1265.978,1265.978
2018-06-26 00:00:00,1265.962,1267.653,1254.748,1258.143,77825.0,1258.143,1258.143
2018-06-27 00:00:00,1258.141,1259.989,1250.746,1252.881,84669.0,1252.881,1252.881
2018-06-28 00:00:00,1252.884,1254.229,1245.91,1248.581,81313.0,1248.581,1248.581
2018-06-29 00:00:00,1248.551,1255.573,1245.978,1252.533,79160.0,1252.533,1252.533
2018-07-01 00:00:00,1253.02,1254.149,1252.785,1253.365,4404.0,1253.365,1253.365
2018-07-02 00:00:00,1253.329,1253.576,1239.648,1242.103,75367.0,1242.103,1242.103
2018-07-03 00:00:00,1242.105,1256.819,1237.914,1254.923,76943.0,1254.923,1254.923
2018-07-04 00:00:00,1254.923,1261.034,1253.985,1256.914,59939.0,1256.914,1256.914
2018-07-05 00:00:00,1256.908,1259.69,1251.262,1257.276,79228.0,1257.276,1257.276
2018-07-06 00:00:00,1257.317,1258.7,1252.776,1254.736,70201.0,1254.736,1254.736
2018-07-08 00:00:00,1255.83,1256.555,1255.637,1256.397,2310.0,1256.397,1256.397
2018-07-09 00:00:00,1256.377,1265.847,1255.423,1258.36,69082.0,1258.36,1258.36
2018-07-10 00:00:00,1258.35,1260.294,1247.33,1255.913,75041.0,1255.913,1255.913
2018-07-11 00:00:00,1255.912,1256.024,1241.507,1242.673,82708.0,1242.673,1242.673
2018-07-12 00:00:00,1242.671,1248.51,1241.29,1245.993,72577.0,1245.993,1245.993
2018-07-13 00:00:00,1245.942,1248.029,1236.388,1241.512,71700.0,1241.512,1241.512
2018-07-15 00:00:00,1241.63,1242.103,1241.064,1241.118,2616.0,1241.118,1241.118
2018-07-16 00:00:00,1241.118,1245.518,1238.302,1240.685,63113.0,1240.685,1240.685
2018-07-17 00:00:00,1240.688,1244.927,1226.064,1227.119,74918.0,1227.119,1227.119
2018-07-18 00:00:00,1227.168,1229.081,1221.047,1227.335,71135.0,1227.335,1227.335
2018-07-19 00:00:00,1227.334,1228.95,1211.435,1223.425,83248.0,1223.425,1223.425
2018-07-20 00:00:00,1223.439,1232.205,1215.673,1231.498,82784.0,1231.498,1231.498
2018-07-22 00:00:00,1231.819,1233.267,1231.5,1232.849,5506.0,1232.849,1232.849
2018-07-23 00:00:00,1232.845,1235.039,1222.211,1224.211,75551.0,1224.211,1224.211
2018-07-24 00:00:00,1224.211,1229.421,1218.045,1225.12,76108.0,1225.12,1225.12
2018-07-25 00:00:00,1225.151,1234.107,1223.213,1233.042,79080.0,1233.042,1233.042
2018-07-26 00:00:00,1233.06,1235.133,1222.31,1224.085,78515.0,1224.085,1224.085
2018-07-27 00:00:00,1224.066,1227.256,1217.538,1222.619,68370.0,1222.619,1222.619
2018-07-29 00:00:00,1223.091,1223.572,1222.006,1222.439,2713.0,1222.439,1222.439
2018-07-30 00:00:00,1222.455,1225.028,1219.0,1222.479,59635.0,1222.479,1222.479
2018-07-31 00:00:00,1222.503,1228.45,1214.003,1223.896,74550.0,1223.896,1223.896
2018-08-01 00:00:00,1223.9,1224.683,1215.741,1217.771,70944.0,1217.771,1217.771
2018-08-02 00:00:00,1217.796,1221.032,1207.015,1208.352,73887.0,1208.352,1208.352
2018-08-03 00:00:00,1208.351,1219.955,1204.451,1213.262,67725.0,1213.262,1213.262
2018-08-05 00:00:00,1213.69,1215.044,1213.516,1214.79,3088.0,1214.79,1214.79
2018-08-06 00:00:00,1214.789,1217.817,1205.895,1208.687,67281.0,1208.687,1208.687
2018-08-07 00:00:00,1208.691,1216.098,1207.771,1212.388,63870.0,1212.388,1212.388
2018-08-08 00:00:00,1212.391,1215.755,1206.202,1213.255,65621.0,1213.255,1213.255
2018-08-09 00:00:00,1213.266,1217.244,1210.744,1212.093,66880.0,1212.093,1212.093
2018-08-10 00:00:00,1212.077,1217.055,1205.726,1211.004,78903.0,1211.004,1211.004
2018-08-12 00:00:00,1212.46,1213.801,1211.927,1212.318,4278.0,1212.318,1212.318
2018-08-13 00:00:00,1212.291,1212.562,1191.497,1192.799,85309.0,1192.799,1192.799
2018-08-14 00:00:00,1192.767,1198.65,1192.057,1193.887,71931.0,1193.887,1193.887
2018-08-15 00:00:00,1193.888,1194.128,1173.089,1173.75,83753.0,1173.75,1173.75
2018-08-16 00:00:00,1173.75,1181.96,1160.182,1175.328,85975.0,1175.328,1175.328
2018-08-17 00:00:00,1175.324,1184.952,1171.9,1184.73,75507.0,1184.73,1184.73
2018-08-19 00:00:00,1183.23,1183.792,1182.915,1183.535,3336.0,1183.535,1183.535
2018-08-20 00:00:00,1183.519,1191.251,1182.868,1191.173,68372.0,1191.173,1191.173
2018-08-21 00:00:00,1191.174,1196.942,1187.643,1195.951,75486.0,1195.951,1195.951
2018-08-22 00:00:00,1195.993,1201.544,1192.58,1195.066,71897.0,1195.066,1195.066
2018-08-23 00:00:00,1195.049,1195.44,1183.861,1184.487,75375.0,1184.487,1184.487
2018-08-24 00:00:00,1184.489,1208.517,1183.097,1205.638,72855.0,1205.638,1205.638
2018-08-26 00:00:00,1206.47,1207.867,1206.054,1207.786,4549.0,1207.786,1207.786
2018-08-27 00:00:00,1207.746,1212.319,1203.205,1211.015,55572.0,1211.015,1211.015
2018-08-28 00:00:00,1211.007,1214.24,1199.616,1202.634,74779.0,1202.634,1202.634
2018-08-29 00:00:00,1202.634,1207.793,1201.376,1207.132,72380.0,1207.132,1207.132
2018-08-30 00:00:00,1207.153,1207.216,1196.244,1199.87,75936.0,1199.87,1199.87
2018-08-31 00:00:00,1199.865,1208.789,1198.273,1200.848,77393.0,1200.848,1200.848
2018-09-02 00:00:00,1199.64,1200.007,1198.719,1199.095,3330.0,1199.095,1199.095
2018-09-03 00:00:00,1199.094,1203.818,1195.522,1200.751,47175.0,1200.751,1200.751
2018-09-04 00:00:00,1200.745,1201.964,1189.626,1191.991,76939.0,1191.991,1191.991
2018-09-05 00:00:00,1191.99,1198.332,1190.904,1197.074,70719.0,1197.074,1197.074
2018-09-06 00:00:00,1197.082,1206.918,1195.68,1201.112,76268.0,1201.112,1201.112
2018-09-07 00:00:00,1201.116,1203.478,1193.405,1195.623,76285.0,1195.623,1195.623
2018-09-09 00:00:00,1195.01,1196.234,1194.902,1196.117,3279.0,1196.117,1196.117
2018-09-10 00:00:00,1196.089,1198.421,1191.524,1195.008,67383.0,1195.008,1195.008
2018-09-11 00:00:00,1195.011,1199.343,1187.715,1197.004,67654.0,1197.004,1197.004
2018-09-12 00:00:00,1197.005,1208.441,1192.586,1206.205,75577.0,1206.205,1206.205
2018-09-13 00:00:00,1206.2,1212.615,1200.116,1202.073,75522.0,1202.073,1202.073
2018-09-14 00:00:00,1202.074,1208.504,1192.897,1193.235,69848.0,1193.235,1193.235
2018-09-16 00:00:00,1194.16,1194.368,1193.014,1193.366,3322.0,1193.366,1193.366
2018-09-17 00:00:00,1193.364,1204.765,1192.773,1198.369,72802.0,1198.369,1198.369
2018-09-18 00:00:00,1198.371,1203.473,1195.844,1199.503,75974.0,1199.503,1199.503
2018-09-19 00:00:00,1199.496,1206.147,1198.211,1203.945,71491.0,1203.945,1203.945
2018-09-20 00:00:00,1203.942,1208.365,1201.037,1207.354,73370.0,1207.354,1207.354
2018-09-21 00:00:00,1207.365,1211.006,1191.846,1199.512,75198.0,1199.512,1199.512
2018-09-23 00:00:00,1197.68,1198.44,1197.033,1197.935,2944.0,1197.935,1197.935
2018-09-24 00:00:00,1197.932,1204.111,1194.391,1199.281,66963.0,1199.281,1199.281
2018-09-25 00:00:00,1199.307,1203.269,1197.039,1201.191,66699.0,1201.191,1201.191
2018-09-26 00:00:00,1201.194,1202.393,1190.49,1196.461,74076.0,1196.461,1196.461
2018-09-27 00:00:00,1196.408,1198.555,1181.877,1183.541,76433.0,1183.541,1183.541
2018-09-28 00:00:00,1183.53,1193.699,1180.744,1191.768,72587.0,1191.768,1191.768
2018-09-30 00:00:00,1191.41,1192.131,1190.673,1190.872,3825.0,1190.872,1190.872
2018-10-01 00:00:00,1190.877,1192.04,1184.552,1188.994,71690.0,1188.994,1188.994
2018-10-02 00:00:00,1189.013,1208.16,1188.721,1205.487,80538.0,1205.487,1205.487
2018-10-03 00:00:00,1205.491,1208.216,1196.457,1197.928,79670.0,1197.928,1197.928
2018-10-04 00:00:00,1197.93,1206.649,1195.979,1199.055,80859.0,1199.055,1199.055
2018-10-05 00:00:00,1199.048,1205.713,1197.22,1202.678,72844.0,1202.678,1202.678
2018-10-07 00:00:00,1203.12,1203.97,1202.859,1203.755,3182.0,1203.755,1203.755
2018-10-08 00:00:00,1203.753,1204.04,1182.418,1190.65,74773.0,1190.65,1190.65
2018-10-09 00:00:00,1190.672,1191.805,1183.311,1189.84,76690.0,1189.84,1189.84
2018-10-10 00:00:00,1189.827,1194.775,1185.282,1193.88,78062.0,1193.88,1193.88
2018-10-11 00:00:00,1193.905,1226.272,1191.24,1221.251,96895.0,1221.251,1221.251
2018-10-12 00:00:00,1221.266,1223.444,1215.814,1217.801,56398.0,1217.801,1217.801
2018-10-14 00:00:00,1218.857,1220.249,1218.857,1219.204,2702.0,1219.204,1219.204
