trade_id,instrument,fold,entry_time_utc,entry_time_ny,exit_time_utc,exit_time_ny,day_of_week,holding_hours,direction,entry_price,sl_price,tp_price,close_price,sl_pips,rr_ratio,trade_result,r_gained,pnl,setup_quality,confluence_score,ttps_htf,ttps_entry,ttps_session,ttps_risk,ttps_total,primary_fvg_tf,primary_fvg_bottom,primary_fvg_top,swept_level,risk_amount,risk_multiplier,week_number,block_reason,bias_trend_score,bias_swing_score,bias_zone_score,bias_po3_score,bias_bull_total,bias_bear_total,bias_conviction
full-0053,XAUUSDm,full,2022-09-06 07:00:00,2022-09-06 03:00:00,2022-09-15 07:00:00,2022-09-15 03:00:00,Tuesday,216.0,BEARISH,1720.11,1737.31,1685.72,1685.72,17.2,2.00,WIN,2.00,2000.00,B,8,5,3,2,1,11,H1,1714.37,1719.40,1720.86,1000.00,1.0,2022-W36,Signal confirmed,0/3,2/3,2/0,0/0,4,6,MEDIUM
full-0054,XAUUSDm,full,2022-09-08 08:00:00,2022-09-08 04:00:00,2022-09-13 13:00:00,2022-09-13 09:00:00,Thursday,125.0,BULLISH,1717.61,1700.43,1766.67,1700.43,17.2,2.86,LOSS,-1.00,-1000.00,B,8,5,3,2,3,13,H1,1704.37,1709.46,1716.82,1000.00,0.5,2022-W36,Signal confirmed,0/0,2/3,2/0,1/0,5,2,MEDIUM
full-0055,XAUUSDm,full,2022-09-13 07:00:00,2022-09-13 03:00:00,2022-09-13 12:00:00,2022-09-13 08:00:00,Tuesday,5.0,BULLISH,1722.95,1705.72,1766.67,1705.72,17.2,2.54,LOSS,-1.00,-1000.00,A,9,5,4,2,2,13,H4,1710.89,1718.18,1721.76,1000.00,1.0,2022-W37,Signal confirmed,3/0,3/3,2/0,0/0,8,3,HIGH
full-0056,XAUUSDm,full,2022-09-14 07:00:00,2022-09-14 03:00:00,2022-09-15 11:00:00,2022-09-15 07:00:00,Wednesday,28.0,BULLISH,1700.84,1683.83,1745.41,1683.83,17.0,2.62,LOSS,-1.00,-1000.00,A,9,5,3,2,2,12,H1,1704.37,1709.46,1700.86,1000.00,1.0,2022-W37,Signal confirmed,2/0,1/3,2/0,0/0,5,3,MEDIUM
full-0057,XAUUSDm,full,2022-09-21 07:00:00,2022-09-21 03:00:00,2022-09-21 18:00:00,2022-09-21 14:00:00,Wednesday,11.0,BULLISH,1671.35,1654.64,1735.08,1654.64,16.7,3.81,LOSS,-1.00,-1000.00,B,8,5,3,2,3,13,H1,1665.54,1673.31,1670.61,1000.00,1.0,2022-W38,Signal confirmed,3/0,1/3,2/0,1/0,7,2,HIGH
full-0058,XAUUSDm,full,2022-09-22 10:00:00,2022-09-22 06:00:00,2022-09-23 10:00:00,2022-09-23 06:00:00,Thursday,24.0,BULLISH,1666.55,1649.88,1735.08,1649.88,16.7,4.11,LOSS,-1.00,-1000.00,C,6,5,3,1,3,12,H1,1661.23,1666.36,1666.54,1000.00,1.0,2022-W38,Signal confirmed,2/0,0/3,2/0,1/0,5,2,MEDIUM
full-0059,XAUUSDm,full,2022-09-27 07:00:00,2022-09-27 03:00:00,2022-09-28 13:00:00,2022-09-28 09:00:00,Tuesday,30.0,BEARISH,1635.50,1651.86,1602.79,1651.86,16.4,2.00,LOSS,-1.00,-1000.00,C,6,5,2,2,2,11,H4,1628.65,1634.08,,1000.00,1.0,2022-W39,Signal confirmed,0/3,0/3,2/0,0/0,2,6,MEDIUM
full-0060,XAUUSDm,full,2022-09-28 12:00:00,2022-09-28 08:00:00,2022-09-28 13:00:00,2022-09-28 09:00:00,Wednesday,1.0,BEARISH,1624.40,1640.64,1591.93,1640.64,16.2,2.00,LOSS,-1.00,-1000.00,B,8,5,4,1,2,12,H4,1628.65,1634.08,1625.32,1000.00,1.0,2022-W39,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0061,XAUUSDm,full,2022-09-29 07:00:00,2022-09-29 03:00:00,2022-10-19 12:00:00,2022-10-19 08:00:00,Thursday,485.0,BULLISH,1647.22,1630.75,1729.56,1630.75,16.5,5.00,LOSS,-1.00,-1000.00,A,9,5,4,2,4,15,H4,1631.56,1655.21,1647.07,1000.00,0.5,2022-W39,Signal confirmed,0/2,3/2,2/0,1/0,6,3,MEDIUM
full-0062,XAUUSDm,full,2022-10-05 07:00:00,2022-10-05 03:00:00,2022-10-05 09:00:00,2022-10-05 05:00:00,Wednesday,2.0,BULLISH,1724.34,1707.10,1765.44,1707.10,17.2,2.38,LOSS,-1.00,-1000.00,B,8,5,4,2,2,13,H4,1712.25,1719.98,1718.91,1000.00,1.0,2022-W40,Signal confirmed,3/0,3/0,0/2,0/1,5,3,MEDIUM
full-0063,XAUUSDm,full,2022-10-11 07:00:00,2022-10-11 03:00:00,2022-10-13 12:00:00,2022-10-13 08:00:00,Tuesday,53.0,BULLISH,1666.39,1649.73,1729.47,1649.73,16.7,3.79,LOSS,-1.00,-1000.00,B,7,5,2,2,3,12,H4,1666.83,1687.26,,1000.00,1.0,2022-W41,Signal confirmed,2/1,2/3,2/0,0/0,6,4,MEDIUM
full-0064,XAUUSDm,full,2022-10-12 07:00:00,2022-10-12 03:00:00,2022-10-13 12:00:00,2022-10-13 08:00:00,Wednesday,29.0,BULLISH,1672.09,1655.37,1729.47,1655.37,16.7,3.43,LOSS,-1.00,-1000.00,B,8,5,4,2,3,14,H4,1666.83,1687.26,1671.88,1000.00,1.0,2022-W41,Signal confirmed,2/0,2/3,2/0,0/0,6,3,MEDIUM
full-0065,XAUUSDm,full,2022-10-13 07:00:00,2022-10-13 03:00:00,2022-10-13 12:00:00,2022-10-13 08:00:00,Thursday,5.0,BULLISH,1667.55,1650.87,1729.47,1650.87,16.7,3.71,LOSS,-1.00,-1000.00,B,8,5,4,2,3,14,H4,1666.83,1687.26,1667.56,1000.00,0.5,2022-W41,Signal confirmed,1/0,3/3,2/0,0/0,6,3,MEDIUM
full-0066,XAUUSDm,full,2022-10-18 07:00:00,2022-10-18 03:00:00,2022-10-26 08:00:00,2022-10-26 04:00:00,Tuesday,193.0,BEARISH,1655.07,1671.62,1614.43,1671.62,16.6,2.46,LOSS,-1.00,-1000.00,B,7,5,2,2,2,11,H4,1651.47,1657.03,,1000.00,1.0,2022-W42,Signal confirmed,0/2,0/3,2/0,0/0,2,5,MEDIUM
full-0067,XAUUSDm,full,2022-10-19 08:00:00,2022-10-19 04:00:00,2022-10-23 22:00:00,2022-10-23 18:00:00,Wednesday,110.0,BEARISH,1644.77,1661.22,1611.88,1661.22,16.4,2.00,LOSS,-1.00,-1000.00,B,8,5,4,2,2,13,H4,1651.47,1657.03,1646.20,1000.00,1.0,2022-W42,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0068,XAUUSDm,full,2022-10-20 15:00:00,2022-10-20 11:00:00,2022-10-23 22:00:00,2022-10-23 18:00:00,Thursday,79.0,BEARISH,1644.80,1661.25,1611.89,1661.25,16.4,2.00,LOSS,-1.00,-1000.00,B,8,5,4,3,1,13,H4,1651.47,1657.03,1646.20,1000.00,0.5,2022-W42,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0069,XAUUSDm,full,2022-10-25 08:00:00,2022-10-25 04:00:00,2022-11-03 07:00:00,2022-11-03 03:00:00,Tuesday,215.0,BULLISH,1645.15,1628.70,1727.42,1628.70,16.4,5.00,LOSS,-1.00,-1000.00,A,10,5,4,2,3,14,H4,1628.00,1647.34,1644.97,1000.00,1.0,2022-W43,Signal confirmed,1/0,2/3,2/0,0/0,5,3,MEDIUM
full-0070,XAUUSDm,full,2022-10-26 12:00:00,2022-10-26 08:00:00,2022-10-28 07:00:00,2022-10-28 03:00:00,Wednesday,43.0,BULLISH,1668.19,1651.51,1735.08,1651.51,16.7,4.01,LOSS,-1.00,-1000.00,C,6,5,2,1,4,12,H4,1657.58,1666.64,,1000.00,1.0,2022-W43,Signal confirmed,1/0,2/2,2/0,0/0,5,2,MEDIUM
full-0071,XAUUSDm,full,2022-10-27 07:00:00,2022-10-27 03:00:00,2022-10-28 12:00:00,2022-10-28 08:00:00,Thursday,29.0,BULLISH,1660.59,1643.98,1735.08,1643.98,16.6,4.49,LOSS,-1.00,-1000.00,A,9,5,4,2,3,14,H4,1657.58,1666.64,1658.49,1000.00,0.5,2022-W43,Signal confirmed,3/0,3/2,2/0,0/0,8,2,HIGH
full-0072,XAUUSDm,full,2022-11-02 07:00:00,2022-11-02 03:00:00,2022-11-02 20:00:00,2022-11-02 16:00:00,Wednesday,13.0,BULLISH,1651.23,1634.72,1729.47,1634.72,16.5,4.74,LOSS,-1.00,-1000.00,A,9,5,4,2,4,15,H4,1639.95,1645.21,1650.94,1000.00,1.0,2022-W44,Signal confirmed,1/0,3/2,2/0,0/0,6,2,MEDIUM
full-0073,XAUUSDm,full,2022-11-08 08:00:00,2022-11-08 03:00:00,2022-11-10 13:00:00,2022-11-10 08:00:00,Tuesday,53.0,BULLISH,1670.33,1653.63,1729.47,1729.47,16.7,3.54,WIN,3.54,3540.00,A,9,5,4,2,3,14,H4,1653.42,1667.70,1667.28,1000.00,1.0,2022-W45,Signal confirmed,0/0,3/0,2/0,0/0,5,0,MEDIUM
full-0074,XAUUSDm,full,2022-11-08 09:00:00,2022-11-08 04:00:00,2022-11-10 13:00:00,2022-11-10 08:00:00,Tuesday,52.0,BULLISH,1666.88,1650.21,1729.47,1729.47,16.7,3.75,WIN,3.75,3750.00,A,9,5,4,2,3,14,H4,1653.42,1667.70,1666.85,1000.00,0.5,2022-W45,Signal confirmed,0/0,3/0,2/0,0/0,5,0,MEDIUM
full-0075,XAUUSDm,full,2022-11-08 10:00:00,2022-11-08 05:00:00,2022-11-10 13:00:00,2022-11-10 08:00:00,Tuesday,51.0,BULLISH,1671.50,1654.79,1729.47,1729.47,16.7,3.47,WIN,3.47,3470.00,A,9,5,4,2,3,14,H4,1653.42,1667.70,1671.42,1000.00,0.5,2022-W45,Signal confirmed,0/0,3/0,2/0,0/0,5,0,MEDIUM
full-0076,XAUUSDm,full,2022-12-06 08:00:00,2022-12-06 03:00:00,2022-12-07 18:00:00,2022-12-07 13:00:00,Tuesday,34.0,BEARISH,1771.54,1789.26,1682.93,1789.26,17.7,5.00,LOSS,-1.00,-1000.00,B,7,5,2,2,3,12,H4,1779.37,1793.25,,1000.00,1.0,2022-W49,Signal confirmed,0/1,2/2,0/2,0/0,2,5,MEDIUM
full-0077,XAUUSDm,full,2022-12-15 16:00:00,2022-12-15 11:00:00,2022-12-19 03:00:00,2022-12-18 22:00:00,Thursday,83.0,BEARISH,1778.93,1796.72,1739.60,1796.72,17.8,2.21,LOSS,-1.00,-1000.00,B,7,5,3,3,2,13,H1,1780.83,1787.51,1781.82,1000.00,1.0,2022-W50,Signal confirmed,2/0,2/2,0/2,0/1,3,5,MEDIUM
full-0078,XAUUSDm,full,2022-12-20 08:00:00,2022-12-20 03:00:00,2022-12-20 14:00:00,2022-12-20 09:00:00,Tuesday,6.0,BEARISH,1794.04,1811.98,1746.72,1811.98,17.9,2.64,LOSS,-1.00,-1000.00,A,9,5,4,2,2,13,H4,1796.39,1804.19,1794.86,1000.00,1.0,2022-W51,Signal confirmed,0/0,3/3,0/2,0/0,3,5,MEDIUM
full-0079,XAUUSDm,full,2022-12-22 08:00:00,2022-12-22 03:00:00,2022-12-22 15:00:00,2022-12-22 10:00:00,Thursday,7.0,BULLISH,1816.91,1798.74,1853.24,1798.74,18.2,2.00,LOSS,-1.00,-1000.00,B,8,5,3,2,2,12,H1,1806.19,1812.45,1814.41,1000.00,1.0,2022-W51,Signal confirmed,3/0,3/0,0/2,0/1,5,3,MEDIUM
full-0080,XAUUSDm,full,2022-12-27 08:00:00,2022-12-27 03:00:00,2022-12-27 15:00:00,2022-12-27 10:00:00,Tuesday,7.0,BEARISH,1805.60,1823.66,1746.72,1823.66,18.1,3.26,LOSS,-1.00,-1000.00,A,10,5,4,2,3,14,H4,1797.46,1813.73,1807.09,1000.00,1.0,2022-W52,Signal confirmed,0/0,2/3,0/2,0/0,2,5,MEDIUM
