trade_id,instrument,fold,entry_time_utc,entry_time_ny,exit_time_utc,exit_time_ny,day_of_week,holding_hours,direction,entry_price,sl_price,tp_price,close_price,sl_pips,rr_ratio,trade_result,r_gained,pnl,setup_quality,confluence_score,ttps_htf,ttps_entry,ttps_session,ttps_risk,ttps_total,primary_fvg_tf,primary_fvg_bottom,primary_fvg_top,swept_level,risk_amount,risk_multiplier,week_number,block_reason,bias_trend_score,bias_swing_score,bias_zone_score,bias_po3_score,bias_bull_total,bias_bear_total,bias_conviction
full-0019,XAUUSDm,full,2022-03-30 07:00:00,2022-03-30 03:00:00,2022-03-31 15:00:00,2022-03-31 11:00:00,Wednesday,32.0,BEARISH,1924.08,1943.32,1844.08,1943.32,19.2,4.16,LOSS,-1.00,-1000.00,B,8,5,3,2,4,14,H1,1927.72,1933.60,1924.69,1000.00,1.0,2022-W13,Signal confirmed,0/3,0/3,2/0,0/0,2,6,MEDIUM
full-0020,XAUUSDm,full,2022-03-31 07:00:00,2022-03-31 03:00:00,2022-03-31 17:00:00,2022-03-31 13:00:00,Thursday,10.0,BEARISH,1926.46,1945.72,1844.08,1945.72,19.3,4.28,LOSS,-1.00,-1000.00,A,11,5,4,2,3,14,H4,1934.28,1941.91,1926.86,1000.00,1.0,2022-W13,Signal confirmed,1/2,3/3,0/2,0/0,4,7,HIGH
full-0021,XAUUSDm,full,2022-04-05 07:00:00,2022-04-05 03:00:00,2022-04-11 08:00:00,2022-04-11 04:00:00,Tuesday,145.0,BEARISH,1932.65,1951.98,1888.67,1951.98,19.3,2.28,LOSS,-1.00,-1000.00,A,9,5,4,2,1,12,H4,1934.28,1941.91,1932.89,1000.00,1.0,2022-W14,Signal confirmed,0/0,3/3,0/2,0/0,3,5,MEDIUM
full-0022,XAUUSDm,full,2022-04-06 09:00:00,2022-04-06 05:00:00,2022-04-08 14:00:00,2022-04-08 10:00:00,Wednesday,53.0,BEARISH,1926.22,1945.48,1877.77,1945.48,19.3,2.52,LOSS,-1.00,-1000.00,A,9,5,4,2,3,14,H4,1934.28,1941.91,1926.22,1000.00,1.0,2022-W14,Signal confirmed,0/3,3/3,0/2,0/0,3,8,HIGH
full-0023,XAUUSDm,full,2022-04-07 08:00:00,2022-04-07 04:00:00,2022-04-08 14:00:00,2022-04-08 10:00:00,Thursday,30.0,BEARISH,1925.48,1944.73,1877.77,1944.73,19.2,2.48,LOSS,-1.00,-1000.00,A,10,5,4,2,2,13,H4,1934.28,1941.91,1925.52,1000.00,0.5,2022-W14,Signal confirmed,1/2,3/3,0/2,0/0,4,7,HIGH
full-0024,XAUUSDm,full,2022-04-19 07:00:00,2022-04-19 03:00:00,2022-04-19 14:00:00,2022-04-19 10:00:00,Tuesday,7.0,BULLISH,1974.37,1954.63,2070.29,1954.63,19.7,4.86,LOSS,-1.00,-1000.00,A,9,5,4,2,3,14,H4,1957.26,1964.70,1974.21,1000.00,1.0,2022-W16,Signal confirmed,3/0,3/1,0/2,0/0,6,3,MEDIUM
full-0025,XAUUSDm,full,2022-04-20 10:00:00,2022-04-20 06:00:00,2022-04-27 08:00:00,2022-04-27 04:00:00,Wednesday,166.0,BEARISH,1948.71,1968.20,1889.78,1889.78,19.5,3.02,WIN,3.02,3020.00,A,9,5,4,1,3,13,H4,1958.21,1974.71,1949.88,1000.00,1.0,2022-W16,Signal confirmed,2/1,2/2,0/2,0/1,3,6,MEDIUM
full-0026,XAUUSDm,full,2022-04-20 11:00:00,2022-04-20 07:00:00,2022-04-27 08:00:00,2022-04-27 04:00:00,Wednesday,165.0,BEARISH,1953.12,1972.65,1889.78,1889.78,19.5,3.24,WIN,3.24,3240.00,B,7,5,2,1,3,11,H4,1958.21,1974.71,,1000.00,0.5,2022-W16,Signal confirmed,2/1,2/2,0/2,0/1,3,6,MEDIUM
full-0027,XAUUSDm,full,2022-05-03 07:00:00,2022-05-03 03:00:00,2022-05-03 14:00:00,2022-05-03 10:00:00,Tuesday,7.0,BEARISH,1858.93,1877.52,1821.75,1877.52,18.6,2.00,LOSS,-1.00,-1000.00,B,7,5,3,2,1,11,H1,1864.39,1875.79,1859.81,1000.00,1.0,2022-W18,Signal confirmed,0/3,0/3,2/0,0/0,2,6,MEDIUM
full-0028,XAUUSDm,full,2022-05-05 07:00:00,2022-05-05 03:00:00,2022-05-05 15:00:00,2022-05-05 11:00:00,Thursday,8.0,BULLISH,1897.48,1878.51,1992.32,1878.51,19.0,5.00,LOSS,-1.00,-1000.00,B,8,5,3,2,4,14,H1,1883.80,1893.03,1895.89,1000.00,1.0,2022-W18,Signal confirmed,0/2,3/2,2/0,1/0,6,3,MEDIUM
full-0029,XAUUSDm,full,2022-05-17 07:00:00,2022-05-17 03:00:00,2022-05-19 15:00:00,2022-05-19 11:00:00,Tuesday,56.0,BEARISH,1830.21,1848.51,1786.38,1848.51,18.3,2.40,LOSS,-1.00,-1000.00,B,7,5,2,2,1,10,H4,1823.92,1833.20,,1000.00,1.0,2022-W20,Signal confirmed,0/2,0/3,2/0,0/0,2,5,MEDIUM
full-0030,XAUUSDm,full,2022-05-18 15:00:00,2022-05-18 11:00:00,2022-05-19 11:00:00,2022-05-19 07:00:00,Wednesday,20.0,BEARISH,1814.12,1832.27,1777.84,1832.27,18.1,2.00,LOSS,-1.00,-1000.00,B,8,5,4,3,2,14,H4,1823.92,1833.20,1815.12,1000.00,1.0,2022-W20,Signal confirmed,0/3,0/3,2/0,1/0,3,5,MEDIUM
full-0031,XAUUSDm,full,2022-05-19 12:00:00,2022-05-19 08:00:00,2022-06-13 22:00:00,2022-06-13 18:00:00,Thursday,610.0,BULLISH,1830.45,1812.15,1909.55,1812.15,18.3,4.32,LOSS,-1.00,-1000.00,B,8,5,3,1,4,13,H1,1815.85,1821.37,1829.71,1000.00,0.5,2022-W20,Signal confirmed,0/2,2/2,2/0,1/0,5,3,MEDIUM
full-0032,XAUUSDm,full,2022-05-25 14:00:00,2022-05-25 10:00:00,2022-06-01 05:00:00,2022-06-01 01:00:00,Wednesday,159.0,BULLISH,1849.44,1830.95,1941.91,1830.95,18.5,5.00,LOSS,-1.00,-1000.00,A,9,5,4,3,3,15,H4,1832.35,1839.90,1849.35,1000.00,1.0,2022-W21,Signal confirmed,0/0,3/0,2/0,0/0,5,0,MEDIUM
