timestamp,balance
Start,100000.0
2020-01-03 04:00:00,102000.0
2020-01-03 06:00:00,103020.0
2020-01-03 06:00:00,104050.2
2020-01-07 19:00:00,106131.2
2020-01-07 18:00:00,107192.52
2020-01-07 18:00:00,108264.44
2020-01-24 10:00:00,107181.8
2020-01-24 10:00:00,106109.98
2020-01-24 10:00:00,105579.43
2020-01-24 10:00:00,104523.63
2020-01-24 10:00:00,103478.4
2020-01-24 10:00:00,102961.01
2020-02-04 08:00:00,101931.4
2020-01-28 20:00:00,100912.08
2020-02-04 08:00:00,100407.52
2020-02-04 10:00:00,99403.45
2020-02-04 10:00:00,98409.41
2020-02-04 10:00:00,97917.37
2020-02-18 08:00:00,96938.19
2020-02-18 08:00:00,95968.81
2020-02-18 08:00:00,95488.97
2020-02-21 07:00:00,97398.74
2020-02-21 08:00:00,98372.73
2020-02-21 08:00:00,99356.46
2020-02-28 02:00:00,98362.89
2020-02-28 09:00:00,97379.27
2020-02-28 07:00:00,96892.37
2020-03-03 10:00:00,95923.45
2020-03-03 10:00:00,94964.21
2020-03-03 10:00:00,94489.39
2020-03-10 15:00:00,93544.5
2020-03-10 15:00:00,92609.05
2020-03-10 15:00:00,92146.01
2020-03-17 09:00:00,91224.55
2020-03-17 09:00:00,90312.3
2020-03-17 09:00:00,89860.74
2020-03-31 13:00:00,88962.13
2020-03-26 12:00:00,90839.23
2020-03-26 12:00:00,91797.59
2020-04-02 08:00:00,90879.61
2020-04-02 10:00:00,89970.81
2020-04-02 10:00:00,89520.96
2020-04-13 11:00:00,91678.42
2020-04-14 10:00:00,93511.98
2020-04-17 01:00:00,93044.42
2020-04-17 01:00:00,92579.2
2020-04-22 12:00:00,91653.41
2020-04-21 07:00:00,90736.88
2020-04-21 07:00:00,90283.19
2020-05-07 13:00:00,89380.36
2020-05-07 12:00:00,88486.56
2020-05-07 13:00:00,88044.12
2020-05-15 02:00:00,90007.51
2020-05-15 03:00:00,90925.58
2020-05-15 11:00:00,92039.42
2020-05-26 10:00:00,91119.03
2020-05-19 21:00:00,90207.84
2020-05-27 07:00:00,91114.43
2020-06-03 10:00:00,93109.83
2020-06-03 10:00:00,94115.42
2020-06-01 00:00:00,93644.84
2020-06-05 08:00:00,95779.94
2020-06-05 08:00:00,96756.9
2020-06-10 07:00:00,96273.11
2020-06-15 03:00:00,95310.38
2020-06-15 03:00:00,94357.28
2020-06-15 03:00:00,93885.49
2020-06-19 11:00:00,92946.64
2020-06-19 11:00:00,92017.17
2020-06-20 20:00:00,91557.09
2020-06-26 09:00:00,90641.52
2020-06-26 09:00:00,89735.1
2020-06-26 10:00:00,89286.42
2020-07-08 09:00:00,91072.15
2020-07-08 09:00:00,91982.87
2020-07-08 09:00:00,92902.7
2020-07-21 08:00:00,94760.76
2020-07-21 08:00:00,95708.37
2020-07-21 08:00:00,96665.45
2020-07-21 08:00:00,98598.76
2020-07-21 08:00:00,99584.75
2020-07-21 08:00:00,100580.59
2020-07-22 20:00:00,102592.2
2020-07-23 11:00:00,103618.13
2020-07-23 11:00:00,104654.31
2020-07-28 03:00:00,103607.77
2020-07-31 03:00:00,107265.12
2020-07-31 03:00:00,108643.48
2020-08-04 15:00:00,110816.35
2020-08-04 15:00:00,111924.51
2020-08-04 15:00:00,113043.75
2020-08-11 07:00:00,111913.32
2020-08-11 07:00:00,110794.18
2020-08-11 08:00:00,110240.21
2020-08-19 11:00:00,112621.4
2020-08-19 11:00:00,113882.76
2020-08-19 11:00:00,115198.11
2020-08-26 13:00:00,114046.13
2020-08-26 16:00:00,112905.66
2020-08-26 11:00:00,112341.14
2020-09-02 10:00:00,115104.73
2020-09-02 09:00:00,116336.35
2020-09-02 09:00:00,117499.71
2020-09-10 07:00:00,116324.71
2020-09-09 15:00:00,115161.47
2020-09-09 09:00:00,114585.66
2020-09-16 22:00:00,113439.8
2020-09-16 22:00:00,112305.41
2020-09-17 09:00:00,111743.88
2020-09-23 12:00:00,114235.77
2020-09-23 12:00:00,115435.24
2020-09-23 12:00:00,116647.31
2020-10-01 08:00:00,115480.84
2020-09-30 11:00:00,114326.03
2020-10-01 08:00:00,113754.4
2020-10-06 15:00:00,112616.86
2020-10-06 15:00:00,111490.69
2020-10-06 15:00:00,110933.24
2020-10-13 10:00:00,109823.9
2020-10-28 08:00:00,108725.66
2020-10-28 08:00:00,108182.04
2020-10-28 08:00:00,107100.22
2020-10-28 08:00:00,106029.21
2020-10-28 08:00:00,105499.07
2020-10-28 08:00:00,104444.08
2020-10-28 08:00:00,103399.64
2020-10-28 08:00:00,102882.64
2020-11-03 12:00:00,101853.81
2020-11-03 18:00:00,100835.27
2020-11-05 03:00:00,100331.1
2020-11-11 08:00:00,99327.79
2020-11-10 05:00:00,98334.51
2020-11-11 08:00:00,97842.83
2020-11-23 09:00:00,99799.69
2020-11-23 09:00:00,100862.56
2020-11-23 09:00:00,101921.62
2020-11-29 21:00:00,103960.05
2020-11-29 21:00:00,104999.65
2020-11-29 21:00:00,106049.64
2020-12-01 06:00:00,104989.15
2020-12-01 08:00:00,103939.26
2020-12-01 08:00:00,103419.56
2020-12-09 09:00:00,102385.36
2020-12-09 09:00:00,101361.51
2020-12-09 09:00:00,100854.7
2020-12-27 20:00:00,99846.16
2021-01-03 20:00:00,101843.08
2021-01-03 20:00:00,102861.51
2021-01-03 21:00:00,103890.13
